home_energy_wh,outside_temp_C,vehicle_mpg,vehicle_weight,total_carbon_impact
60,6.6,13.0,3365.0,27.147640253633618
60,6.48333333333333,32.0,2933.0,40.91026674071996
50,6.36666666666667,31.6,2525.0,15.723165914665284
50,6.25,26.0,4425.0,28.682310429353787
60,6.133333333333329,16.5,4190.0,39.26396130698555
50,6.01666666666667,25.0,2408.0,15.950700268443493
60,5.9,16.5,3449.0,34.1303243759526
60,5.91666666666667,24.0,3003.0,22.14742873511406
60,5.93333333333333,24.3,2295.0,28.21920143207028
70,5.95,32.8,2979.0,36.36923243365459
230,5.96666666666667,24.0,4190.0,96.05508101711472
580,5.98333333333333,32.4,2300.0,227.54201840679323
430,6.0,32.3,1950.0,170.56831816768084
250,6.0,35.7,2795.0,95.05039433472115
100,6.0,32.3,2965.0,40.217754699021626
100,6.0,29.9,2100.0,48.392079928547886
90,6.0,24.0,4422.0,46.03670258662809
70,6.0,16.0,2875.0,37.28873779121858
80,6.0,32.9,4638.0,22.496997223684936
140,6.0,22.0,3735.0,73.69719159211334
120,6.0,15.0,3620.0,55.85101786094484
190,6.0,28.0,2835.0,81.1220831333943
110,6.0,25.4,3880.0,50.83585244392725
110,6.0,14.0,2335.0,55.9698654744917
110,6.0,19.1,2930.0,49.79086976358548
110,5.93333333333333,21.0,3158.0,51.7611292825803
100,5.86666666666667,19.9,3725.0,54.83853896635875
100,5.8,15.0,4732.0,53.223759458648495
100,5.73333333333333,27.2,1985.0,49.053884914978426
100,5.66666666666667,15.0,4295.0,50.006512541359264
110,5.6,16.0,2672.0,53.36041649379529
400,5.65,36.0,2807.0,169.3729548593012
400,5.7,21.5,4440.0,163.66379443167108
390,5.75,29.0,4657.0,160.41622998826503
240,5.8,20.6,1985.0,99.2378418846714
60,5.85,32.8,3139.0,14.921780904986463
60,5.9,16.0,1800.0,30.063322646099696
60,5.8,23.7,2405.0,26.590098038224514
50,5.7,24.0,4077.0,24.900706638808366
70,5.6,44.3,2979.0,30.734280497538084
60,5.5,25.5,2725.0,33.241626930611034
40,5.4,19.0,2350.0,18.007154998715365
40,5.3,13.0,2300.0,28.931240028771395
30,5.26666666666667,28.0,3672.0,22.684088773011048
40,5.23333333333333,29.0,4615.0,29.215833808773397
50,5.2,25.0,2126.0,21.670140054718736
310,5.16666666666667,27.0,4257.0,131.7191810746178
380,5.133333333333329,33.0,3205.0,161.05775482542637
380,5.1,24.0,3158.0,160.32084430498946
370,5.11666666666667,14.0,3830.0,161.89092798096607
120,5.133333333333329,21.0,1613.0,59.60927655582667
50,5.15,29.0,2635.0,24.767926033437025
40,5.16666666666667,15.0,3574.0,23.797234241051633
50,5.18333333333333,23.0,2220.0,20.499519011734403
40,5.2,9.0,3988.0,40.300319048018224
50,5.133333333333329,23.0,2830.0,25.208299928784054
50,5.06666666666667,27.0,4380.0,18.745497016615793
50,5.0,26.0,2125.0,25.92177800734059
40,4.93333333333333,15.0,2220.0,17.89523749374625
40,4.86666666666667,37.7,3365.0,17.497327315010978
30,4.8,37.3,2725.0,3.710130088544016
20,4.81666666666667,18.0,4042.0,22.38228943641043
